Size; Duration;Mean;Median;Min;Max
0;415.668341; 4.156683; 4.053667; 6.113834; 2.103258
1;413.145912; 4.131459; 4.006625; 5.690000; 1.624171
2;410.246290; 4.102462; 4.015292; 5.466209; 1.496893
3;407.502452; 4.075024; 3.947459; 5.500625; 1.773392
4;398.667665; 3.986676; 3.830958; 6.141666; 3.014240
5;386.204539; 3.862045; 3.632708; 5.217084; 1.943362
6;368.132084; 3.681320; 3.375916; 5.017708; 2.237771
7;311.179377; 3.111793; 2.702375; 4.852209; 3.834729
8;313.308456; 3.133084; 2.623208; 4.766334; 4.161188
9;305.740755; 3.057407; 2.396834; 4.618459; 4.405897
10;297.847998; 2.978479; 2.293625; 4.563834; 4.437965
11;262.566126; 2.625661; 2.014125; 4.256208; 5.245568
12;258.443920; 2.584439; 2.044834; 4.169875; 6.364534
13;313.209586; 3.132095; 2.070875; 4.289708; 4.833993
14;264.125086; 2.641250; 1.888708; 4.307167; 6.744190
15;287.210082; 2.872100; 2.161875; 4.200083; 5.333508
16;298.447250; 2.984472; 2.131125; 4.289209; 4.859667
17;296.234038; 2.962340; 2.260375; 4.142875; 5.468031
18;278.764253; 2.787642; 2.013208; 4.181958; 5.302262
19;307.764628; 3.077646; 1.989541; 4.241167; 5.962917
20;278.398961; 2.783989; 1.748166; 4.238833; 6.453008
21;301.135707; 3.011357; 2.119667; 4.060084; 5.422721
22;303.227838; 3.032278; 1.775000; 3.992000; 5.718391
23;291.771123; 2.917711; 1.945042; 4.451333; 5.810710
24;295.500790; 2.955007; 1.617750; 4.019416; 5.905427
25;293.889831; 2.938898; 1.937625; 3.961375; 5.145248
26;296.992459; 2.969924; 1.965500; 4.382000; 5.724573
27;304.227912; 3.042279; 1.902542; 4.066875; 5.346863
28;299.530915; 2.995309; 2.020750; 4.030334; 4.925948
29;301.469749; 3.014697; 2.003417; 4.149250; 5.488964
30;284.332329; 2.843323; 1.809167; 4.458791; 5.963142
31;316.444412; 3.164444; 1.818458; 4.258750; 5.400361
32;299.111288; 2.991112; 1.843917; 4.146667; 5.079887
33;308.068788; 3.080687; 1.902125; 4.002375; 4.689981
34;313.215253; 3.132152; 1.597083; 4.151000; 4.948647
35;302.379255; 3.023792; 2.057584; 4.256833; 5.236536
36;305.222957; 3.052229; 2.043125; 4.265833; 4.894859
37;308.542543; 3.085425; 1.877500; 4.023000; 4.892640
38;317.236543; 3.172365; 1.523417; 4.218083; 5.352292
39;307.962876; 3.079628; 1.799625; 4.210042; 5.562220
40;298.293879; 2.982938; 1.829375; 4.255792; 4.611435
41;309.976044; 3.099760; 1.536667; 4.396667; 6.092285
42;311.705875; 3.117058; 1.942375; 4.114625; 5.223055
43;312.106458; 3.121064; 1.914291; 4.124208; 5.111317
44;311.437625; 3.114376; 1.929083; 4.161417; 5.155434
45;306.133000; 3.061330; 1.956833; 3.772833; 4.058018
46;304.942087; 3.049420; 2.114208; 3.968584; 4.132914
47;318.528831; 3.185288; 1.740916; 4.390625; 5.324729
48;302.059914; 3.020599; 1.789084; 4.136458; 5.372496
49;294.809243; 2.948092; 1.889041; 4.765042; 4.467828
50;309.234961; 3.092349; 1.542917; 4.914375; 5.890464
51;305.233414; 3.052334; 2.134291; 3.918500; 4.111361
52;310.446045; 3.104460; 1.954542; 4.150334; 3.960369
53;309.946792; 3.099467; 2.035750; 3.855375; 3.693671
54;307.978088; 3.079780; 2.262625; 3.760584; 3.543381
55;314.103709; 3.141037; 2.257500; 3.963334; 4.103110
56;313.266042; 3.132660; 1.916625; 4.045125; 3.832709
57;311.817748; 3.118177; 1.894625; 4.070083; 5.024292
58;304.207666; 3.042076; 2.144584; 4.157084; 4.328918
59;306.169832; 3.061698; 1.869792; 4.188292; 4.792563
60;311.272376; 3.112723; 2.291458; 3.787083; 3.566499
61;310.721749; 3.107217; 1.985125; 4.079416; 4.994436
62;305.969128; 3.059691; 2.222334; 3.836916; 3.448577
63;313.897963; 3.138979; 1.911084; 3.982625; 3.907619
64;310.755587; 3.107555; 2.199917; 4.039250; 3.527132
65;309.965245; 3.099652; 2.233000; 3.904125; 3.504329
66;311.707201; 3.117072; 2.288708; 3.897541; 3.535080
67;308.701332; 3.087013; 2.474625; 3.865416; 2.619665
68;308.260037; 3.082600; 2.091000; 3.996416; 4.410444
69;315.118671; 3.151186; 1.950417; 4.000500; 4.159071
70;310.460081; 3.104600; 1.970958; 4.178625; 3.818751
71;305.877837; 3.058778; 2.215125; 4.034167; 3.879886
72;306.682327; 3.066823; 2.251541; 3.817417; 3.343380
73;309.386586; 3.093865; 2.421458; 3.942291; 3.074427
74;309.732836; 3.097328; 2.171042; 4.130292; 4.444810
75;314.071499; 3.140714; 2.282792; 3.982583; 3.951426
76;310.407839; 3.104078; 2.136875; 4.093917; 4.249897
77;303.455206; 3.034552; 2.390084; 3.766750; 2.910123
78;308.954878; 3.089548; 2.273292; 4.057583; 3.908060
79;308.067127; 3.080671; 2.308750; 3.739000; 2.872509
80;308.414624; 3.084146; 2.143875; 4.032250; 3.895127
81;309.100543; 3.091005; 2.375458; 3.845625; 2.942052
82;304.935997; 3.049359; 2.290291; 3.791291; 3.240636
83;307.291582; 3.072915; 2.594375; 3.842250; 2.462676
84;306.713329; 3.067133; 2.626667; 3.890208; 2.260389
85;300.009417; 3.000094; 2.162792; 4.793375; 3.604649
86;308.994582; 3.089945; 2.422834; 3.775667; 3.095492
87;308.377087; 3.083770; 2.434250; 3.841833; 2.679212
88;306.073827; 3.060738; 2.438917; 3.824042; 2.698153
89;306.590045; 3.065900; 2.341833; 3.851375; 3.196781
90;306.773870; 3.067738; 2.723458; 3.826500; 2.137585
91;309.227412; 3.092274; 2.463334; 3.779791; 2.542514
92;305.719709; 3.057197; 2.592333; 3.810958; 2.304302
93;309.115536; 3.091155; 2.372500; 3.919500; 3.023369
94;305.574957; 3.055749; 2.621334; 3.855542; 2.482242
95;321.284163; 3.212841; 2.663125; 3.974667; 2.584676
96;307.860961; 3.078609; 2.673417; 3.979541; 2.575164
97;306.643418; 3.066434; 2.581584; 3.978542; 2.451489
98;304.974921; 3.049749; 2.674792; 3.916583; 2.100577
99;310.868874; 3.108688; 2.597084; 3.870917; 2.403999
